City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,fortuna,40.5982,-124.1573,14.96,83,100,2.24,US,1730415538
176,akureyri,65.6835,-18.0878,-5.04,80,20,1.54,IS,1730415539
177,flin flon,54.7682,-101.865,-2.09,46,20,1.54,CA,1730415540
178,lorengau,-2.0226,147.2712,28.29,78,96,1.71,PG,1730415541
179,nadym,65.5333,72.5167,-2.27,90,91,8.75,RU,1730415542
180,saint-leu,-21.15,55.2833,21.48,90,73,2.1,RE,1730415543
181,amuntai,-2.4177,115.2494,23.74,97,100,1.0,ID,1730415545
182,nemuro,43.3236,145.575,11.32,69,51,4.98,JP,1730415546
183,loushanguan,28.1375,106.82,14.23,92,81,1.55,CN,1730415547
184,chonchi,-42.6128,-73.8092,13.95,79,79,0.86,CL,1730415548
185,salida,37.7058,-121.0849,20.05,43,0,6.17,US,1730415549
186,igurusi,-8.85,33.85,21.11,61,80,1.36,TZ,1730415550
187,qaqortoq,60.7167,-46.0333,-0.27,86,100,10.26,GL,1730415552
188,dudinka,69.4058,86.1778,-7.74,93,100,8.03,RU,1730415553
189,nova vicosa,-17.8919,-39.3719,23.3,85,100,2.21,BR,1730415554
190,whitehorse,60.7161,-135.0538,0.43,86,75,8.23,CA,1730415555
191,lerwick,60.1545,-1.1494,9.46,86,100,10.78,GB,1730415556
192,puerto leguizamo,-0.1934,-74.7819,28.35,60,51,0.9,CO,1730415557
193,saint-pierre,-21.3393,55.4781,21.82,64,0,2.57,RE,1730415559
194,vila franca do campo,37.7167,-25.4333,20.23,99,93,4.19,PT,1730415561
195,sao tome,0.3365,6.7273,25.82,87,74,3.76,ST,1730415562
196,mangrol,21.1167,70.1167,27.42,61,0,4.14,IN,1730415563
197,namibe,-15.1961,12.1522,18.01,80,17,2.7,AO,1730415564
198,ancud,-41.8697,-73.8203,11.39,84,77,3.5,CL,1730415566
199,ghadamis,30.1337,9.5007,26.03,23,100,4.65,LY,1730415567
200,lompoc,34.6391,-120.4579,17.51,77,100,6.17,US,1730415568
201,quevedo,-1.0333,-79.45,28.62,60,93,2.65,EC,1730415569
202,ulsteinvik,62.3432,5.8487,10.97,94,100,4.47,NO,1730415570
203,alta,69.9689,23.2717,-1.41,84,40,6.26,NO,1730415572
204,koryazhma,61.3143,47.1691,-0.75,96,100,3.05,RU,1730415573
205,tomatlan,19.9333,-105.25,28.93,55,13,2.03,MX,1730415574
206,huancabamba,-5.2386,-79.4506,16.18,87,95,2.24,PE,1730415575
207,nelson bay,-32.7167,152.15,21.17,74,28,3.58,AU,1730415576
208,flying fish cove,-10.4217,105.6791,25.82,94,100,3.6,CX,1730415577
209,mount gambier,-37.8333,140.7667,11.74,55,100,2.49,AU,1730415579
210,poronaysk,49.2167,143.1167,-0.02,69,10,1.73,RU,1730415580
211,kununurra,-15.7667,128.7333,28.99,74,5,3.6,AU,1730415581
212,arawa,-6.2132,155.5367,30.61,64,27,1.15,PG,1730415582
213,bijawar,24.6333,79.5,21.67,44,5,1.75,IN,1730415583
214,sant'antioco,39.0664,8.4522,18.1,84,0,4.19,IT,1730415586
215,el matama,16.7095,33.3565,24.36,18,4,5.5,SD,1730415587
216,margaret river,-33.95,115.0667,17.53,72,100,2.44,AU,1730415588
217,viana do castelo,41.6932,-8.8329,15.76,83,61,3.09,PT,1730415589
218,horta,38.5333,-28.6333,21.68,94,100,10.28,PT,1730415590
219,wailua homesteads,22.0669,-159.378,27.14,75,27,1.34,US,1730415592
220,east ballina,-28.8667,153.5833,21.9,72,64,4.87,AU,1730415593
221,poli,-3.3333,36.8,17.14,90,82,3.26,TZ,1730415594
222,spring creek,40.7266,-115.5859,5.45,71,100,6.09,US,1730415595
223,kidal,18.4411,1.4078,25.6,16,92,4.73,ML,1730415596
224,vilyuysk,63.7553,121.6247,-25.68,100,91,0.71,RU,1730415597
225,minas de marcona,-15.2119,-75.1103,16.26,65,11,4.71,PE,1730415599
226,mahina,-17.5065,-149.489,27.87,61,75,4.12,PF,1730415600
227,jiuquan,39.7432,98.5174,4.82,54,55,0.54,CN,1730415601
228,ciudad tula,23.0,-99.7167,22.51,73,0,3.47,MX,1730415602
229,changsha,28.2,112.9667,17.09,60,25,7.07,CN,1730415603
230,prado,-17.3411,-39.2208,22.75,91,100,1.59,BR,1730415604
231,la passe,45.5549,-0.8967,15.91,86,0,3.2,FR,1730415606
232,hithadhoo,-0.6,73.0833,27.53,58,24,1.61,MV,1730415607
233,caussade,44.1608,1.5391,14.02,76,0,3.16,FR,1730415608
234,inyati,-19.6756,28.8469,17.65,81,50,4.5,ZW,1730415609
